"Date (UTC)","Timestamp (UTC)",">93k","91-93k","89-91k","87-89k","85-87k","83-85k","<83k"
"03-07-2025 18:00","1741370405","0.435","0.2","0.23","0.23","0.225","0.22","0.255"
"03-07-2025 19:00","1741374005","0.29","0.12","0.13","0.13","0.13","0.105","0.21"
"03-07-2025 20:00","1741377604","0.235","0.095","0.115","0.11","0.115","0.105","0.26"
"03-07-2025 21:00","1741381205","0.19","0.085","0.11","0.115","0.115","0.105","0.29"
"03-07-2025 22:00","1741384805","0.175","0.085","0.11","0.12","0.115","0.11","0.325"
"03-07-2025 23:00","1741388405","0.185","0.085","0.105","0.12","0.115","0.125","0.29"
"03-08-2025 00:00","1741392005","0.18","0.085","0.105","0.12","0.115","0.13","0.305"
"03-08-2025 01:00","1741395605","0.17","0.085","0.11","0.12","0.115","0.13","0.285"
"03-08-2025 02:00","1741399205","0.135","0.085","0.11","0.12","0.12","0.125","0.335"
"03-08-2025 03:00","1741402805","0.14","0.085","0.11","0.12","0.12","0.125","0.315"
"03-08-2025 04:00","1741406405","0.14","0.085","0.12","0.105","0.12","0.13","0.335"
"03-08-2025 05:00","1741410005","0.16","0.085","0.11","0.13","0.12","0.13","0.3"
"03-08-2025 06:00","1741413604","0.155","0.09","0.11","0.125","0.12","0.13","0.305"
"03-08-2025 07:00","1741417205","0.14","0.09","0.11","0.135","0.13","0.125","0.29"
"03-08-2025 08:00","1741420805","0.145","0.09","0.11","0.135","0.135","0.125","0.295"
"03-08-2025 09:00","1741424405","0.135","0.085","0.105","0.135","0.145","0.135","0.295"
"03-08-2025 10:00","1741428005","0.135","0.085","0.105","0.135","0.14","0.125","0.305"
"03-08-2025 11:00","1741431605","0.135","0.085","0.105","0.125","0.14","0.13","0.305"
"03-08-2025 12:00","1741435204","0.135","0.085","0.105","0.12","0.135","0.125","0.305"
"03-08-2025 13:00","1741438805","0.135","0.085","0.105","0.12","0.135","0.125","0.305"
"03-08-2025 14:00","1741442405","0.135","0.085","0.105","0.12","0.135","0.125","0.3"
"03-08-2025 15:00","1741446004","0.14","0.085","0.105","0.12","0.135","0.125","0.3"
"03-08-2025 16:00","1741449605","0.145","0.09","0.11","0.12","0.14","0.13","0.305"
"03-08-2025 17:00","1741453204","0.145","0.095","0.11","0.12","0.14","0.13","0.305"
"03-08-2025 18:00","1741456805","0.145","0.085","0.11","0.12","0.14","0.13","0.31"
