"Date (UTC)","Timestamp (UTC)","↑ 150k","↑ 135k","↑ 130k","↑ 125k","↓ 110k","↓ 105k","↓ 100k"
"08-10-2025 23:00","1754866802","","","","","","0.1",""
"08-10-2025 23:00","1754866803","","0.09","","","","",""
"08-10-2025 23:00","1754866806","","","0.225","","","",""
"08-10-2025 23:00","1754866811","","","","","0.175","",""
"08-10-2025 23:00","1754866812","","","","","","","0.05"
"08-10-2025 23:00","1754866815","0.026","","","0.51","","",""
"08-10-2025 23:01","1754866862","0.026","0.095","","0.515","","0.1","0.05"
"08-10-2025 23:01","1754866863","","","0.235","","0.175","",""
"08-10-2025 23:02","1754866922","","","","","0.175","","0.05"
"08-10-2025 23:02","1754866923","0.026","0.095","0.235","0.515","","0.1",""
"08-10-2025 23:03","1754866981","","","","","","","0.05"
"08-10-2025 23:03","1754866982","0.026","0.095","0.235","0.515","","0.1",""
"08-10-2025 23:03","1754866983","","","","","0.175","",""
"08-10-2025 23:04","1754867042","0.026","0.095","","0.515","","0.115",""
"08-10-2025 23:04","1754867043","","","0.235","","0.175","","0.05"
"08-10-2025 23:05","1754867105","","","","","0.175","",""
"08-10-2025 23:05","1754867106","","","","","","","0.05"
"08-10-2025 23:05","1754867109","","","","0.515","","",""
"08-10-2025 23:05","1754867110","0.026","","","","","0.115",""
"08-10-2025 23:05","1754867111","","0.095","","","","",""
"08-10-2025 23:05","1754867113","","","0.235","","","",""
"08-10-2025 23:06","1754867162","","0.095","0.235","","","0.115",""
"08-10-2025 23:06","1754867163","0.026","","","0.515","0.175","","0.05"
"08-10-2025 23:07","1754867222","0.026","","","0.515","0.175","0.115","0.05"
"08-10-2025 23:07","1754867223","","0.095","0.235","","","",""
"08-10-2025 23:08","1754867282","","","0.235","","0.175","","0.05"
"08-10-2025 23:08","1754867283","0.026","0.095","","0.515","","0.115",""
"08-10-2025 23:09","1754867342","0.026","0.095","","0.515","","0.115",""
"08-10-2025 23:09","1754867343","","","0.23","","0.175","","0.05"
"08-10-2025 23:10","1754867402","0.0265","","","0.515","","",""
"08-10-2025 23:10","1754867403","","","","","","0.115",""
"08-10-2025 23:10","1754867404","","0.095","","","","",""
"08-10-2025 23:10","1754867407","","","0.235","","","",""
"08-10-2025 23:10","1754867410","","","","","0.175","",""
"08-10-2025 23:10","1754867412","","","","","","","0.05"
"08-10-2025 23:11","1754867462","0.0265","0.09","0.24","0.52","","0.115","0.05"
"08-10-2025 23:11","1754867463","","","","","0.17","",""
"08-10-2025 23:12","1754867522","0.0265","0.09","","0.515","","0.115","0.05"
"08-10-2025 23:12","1754867523","","","0.24","","0.175","",""
"08-10-2025 23:13","1754867582","","","0.24","","0.175","",""
"08-10-2025 23:13","1754867583","0.0265","0.09","","0.515","","0.115","0.05"
"08-10-2025 23:14","1754867642","0.0265","","","0.51","0.175","","0.05"
"08-10-2025 23:14","1754867643","","0.09","0.235","","","0.115",""
"08-10-2025 23:15","1754867703","0.0265","","","0.51","","",""
"08-10-2025 23:15","1754867704","","0.09","","","","0.115",""
"08-10-2025 23:15","1754867707","","","0.235","","","",""
"08-10-2025 23:15","1754867711","","","","","0.175","",""
"08-10-2025 23:15","1754867713","","","","","","","0.05"
"08-10-2025 23:16","1754867762","0.0265","0.09","0.235","0.51","","0.115",""
"08-10-2025 23:16","1754867763","","","","","0.175","","0.05"
"08-10-2025 23:17","1754867821","","","","","","0.115",""
"08-10-2025 23:17","1754867822","","0.09","0.235","","0.175","",""
"08-10-2025 23:17","1754867823","0.0265","","","0.51","","","0.05"
"08-10-2025 23:18","1754867882","0.0265","0.09","0.235","0.51","","0.115","0.05"
"08-10-2025 23:18","1754867883","","","","","0.175","",""
"08-10-2025 23:19","1754867941","","","","","0.175","",""
"08-10-2025 23:19","1754867942","0.0265","0.09","","0.51","","0.115","0.05"
"08-10-2025 23:19","1754867943","","","0.235","","","",""
"08-10-2025 23:20","1754868002","","","","","","","0.05"
"08-10-2025 23:20","1754868003","0.0265","0.09","0.235","0.51","","0.115",""
"08-10-2025 23:20","1754868004","","","","","0.175","",""
"08-10-2025 23:21","1754868062","0.0265","","","0.51","0.18","","0.05"
"08-10-2025 23:21","1754868063","","0.09","0.235","","","0.115",""
"08-10-2025 23:22","1754868122","","","","","0.18","","0.05"
"08-10-2025 23:22","1754868123","0.0265","0.09","0.235","0.51","","0.115",""
"08-10-2025 23:23","1754868182","","","","","0.18","","0.05"
"08-10-2025 23:23","1754868183","0.0265","0.09","0.235","0.505","","0.115",""
"08-10-2025 23:24","1754868242","0.0265","","","0.505","0.18","","0.05"
"08-10-2025 23:24","1754868243","","0.09","0.235","","","0.115",""
"08-10-2025 23:25","1754868302","","","","","0.18","",""
"08-10-2025 23:25","1754868303","","","","","","","0.05"
"08-10-2025 23:25","1754868306","0.0265","","","0.505","","",""
"08-10-2025 23:25","1754868307","","","","","","0.115",""
"08-10-2025 23:25","1754868308","","0.09","","","","",""
"08-10-2025 23:25","1754868310","","","0.235","","","",""
"08-10-2025 23:26","1754868362","0.0265","","","0.505","0.18","","0.05"
"08-10-2025 23:26","1754868363","","0.09","0.235","","","0.115",""
"08-10-2025 23:27","1754868422","","","","","0.18","","0.05"
"08-10-2025 23:27","1754868423","0.0265","0.09","0.235","0.505","","0.115",""
"08-10-2025 23:28","1754868482","0.0265","0.09","0.235","0.505","","0.115",""
"08-10-2025 23:28","1754868483","","","","","0.175","","0.05"
"08-10-2025 23:29","1754868542","","","","0.51","0.175","","0.05"
"08-10-2025 23:29","1754868543","0.0265","0.085","0.24","","","0.115",""
"08-10-2025 23:30","1754868602","","0.085","","","","",""
"08-10-2025 23:30","1754868605","","","0.24","","","",""
"08-10-2025 23:30","1754868610","","","","","0.175","",""
"08-10-2025 23:30","1754868612","","","","","","","0.05"
"08-10-2025 23:30","1754868614","","","","0.515","","",""
"08-10-2025 23:30","1754868616","0.0265","","","","","0.115",""
"08-10-2025 23:31","1754868662","","0.085","0.24","","0.175","0.115",""
"08-10-2025 23:31","1754868663","0.0265","","","0.515","","","0.05"
"08-10-2025 23:32","1754868722","","","0.24","","0.175","","0.05"
"08-10-2025 23:32","1754868723","0.0265","0.095","","0.52","","0.115",""
"08-10-2025 23:33","1754868782","0.0265","","","0.52","0.17","","0.05"
"08-10-2025 23:33","1754868783","","0.095","0.24","","","0.115",""
"08-10-2025 23:34","1754868842","0.0265","0.095","","0.52","0.17","0.115","0.05"
"08-10-2025 23:34","1754868843","","","0.24","","","",""
"08-10-2025 23:35","1754868902","","","","","","","0.045"
"08-10-2025 23:35","1754868904","","","","0.525","","",""
"08-10-2025 23:35","1754868905","0.0265","","","","","0.115",""
"08-10-2025 23:35","1754868907","","0.095","","","","",""
"08-10-2025 23:35","1754868909","","","0.24","","","",""
"08-10-2025 23:35","1754868914","","","","","0.17","",""
"08-10-2025 23:36","1754868962","","","0.24","","0.17","",""
"08-10-2025 23:36","1754868963","0.0265","0.095","","0.52","","0.115","0.045"
"08-10-2025 23:37","1754869022","","","0.24","","0.17","",""
"08-10-2025 23:37","1754869023","0.0265","0.095","","0.52","","0.115","0.045"
"08-10-2025 23:38","1754869082","","","0.24","","0.17","","0.045"
