"Date (UTC)","Timestamp (UTC)",">87k","85-87k","83-85k","81-83k","79-81k","77-79k","<77k"
"03-14-2025 16:00","1741968004","0.365","0.185","0.535","0.5","0.52","0.1","0.14"
"03-14-2025 17:00","1741971605","0.37","0.13","0.12","0.115","0.095","0.07","0.12"
"03-14-2025 18:00","1741975205","0.34","0.135","0.125","0.13","0.1","0.085","0.125"
"03-14-2025 19:00","1741978804","0.34","0.14","0.14","0.13","0.105","0.075","0.125"
"03-14-2025 20:00","1741982404","0.34","0.14","0.145","0.14","0.1","0.07","0.115"
"03-14-2025 21:00","1741986005","0.305","0.155","0.14","0.135","0.09","0.07","0.125"
"03-14-2025 22:00","1741989605","0.3","0.155","0.145","0.14","0.09","0.08","0.125"
"03-14-2025 23:00","1741993204","0.325","0.145","0.145","0.14","0.1","0.08","0.12"
"03-15-2025 00:00","1741996804","0.29","0.145","0.15","0.14","0.1","0.085","0.135"
"03-15-2025 01:00","1742000404","0.295","0.145","0.135","0.145","0.115","0.085","0.115"
"03-15-2025 02:00","1742004004","0.305","0.15","0.145","0.15","0.11","0.07","0.12"
"03-15-2025 03:00","1742007604","0.325","0.155","0.15","0.14","0.105","0.07","0.11"
"03-15-2025 04:00","1742011205","0.315","0.15","0.135","0.135","0.095","0.065","0.11"
"03-15-2025 05:00","1742014805","0.32","0.15","0.14","0.135","0.095","0.065","0.115"
"03-15-2025 06:00","1742018405","0.315","0.15","0.14","0.135","0.095","0.065","0.12"
"03-15-2025 07:00","1742022004","0.3","0.15","0.14","0.14","0.095","0.065","0.125"
"03-15-2025 08:00","1742025604","0.28","0.15","0.135","0.135","0.095","0.06","0.125"
"03-15-2025 09:00","1742029204","0.285","0.15","0.135","0.135","0.1","0.07","0.12"
"03-15-2025 10:00","1742032804","0.285","0.14","0.135","0.135","0.1","0.07","0.125"
"03-15-2025 11:00","1742036405","0.28","0.14","0.135","0.145","0.095","0.065","0.125"
"03-15-2025 12:00","1742040004","0.295","0.145","0.135","0.145","0.095","0.065","0.115"
"03-15-2025 13:00","1742043604","0.3","0.145","0.135","0.145","0.095","0.07","0.115"
"03-15-2025 14:00","1742047204","0.315","0.145","0.135","0.145","0.095","0.065","0.12"
"03-15-2025 15:00","1742050804","0.305","0.145","0.135","0.145","0.095","0.065","0.12"
"03-15-2025 16:00","1742054405","0.31","0.145","0.135","0.145","0.095","0.065","0.12"
"03-15-2025 17:00","1742058004","0.32","0.145","0.135","0.145","0.095","0.065","0.12"
"03-15-2025 18:00","1742061604","0.32","0.145","0.135","0.145","0.095","0.065","0.125"
"03-15-2025 19:00","1742065204","0.31","0.145","0.135","0.14","0.095","0.065","0.125"
"03-15-2025 20:00","1742068805","0.32","0.145","0.135","0.14","0.095","0.065","0.125"
"03-15-2025 21:00","1742072404","0.335","0.145","0.135","0.135","0.095","0.065","0.125"
"03-15-2025 22:00","1742076004","0.33","0.145","0.135","0.135","0.095","0.065","0.12"
"03-15-2025 23:00","1742079605","0.32","0.145","0.135","0.135","0.095","0.065","0.12"
"03-16-2025 00:00","1742083204","0.325","0.145","0.135","0.135","0.095","0.065","0.12"
"03-16-2025 01:00","1742086804","0.32","0.145","0.135","0.135","0.095","0.065","0.115"
"03-16-2025 02:00","1742090404","0.3","0.135","0.135","0.135","0.095","0.065","0.115"
"03-16-2025 03:00","1742094005","0.305","0.135","0.135","0.135","0.095","0.07","0.125"
"03-16-2025 04:00","1742097605","0.325","0.135","0.135","0.125","0.095","0.07","0.115"
"03-16-2025 05:00","1742101204","0.325","0.135","0.125","0.125","0.095","0.075","0.115"
"03-16-2025 06:00","1742104804","0.325","0.125","0.125","0.115","0.095","0.075","0.115"
"03-16-2025 07:00","1742108404","0.32","0.125","0.13","0.115","0.095","0.075","0.115"
"03-16-2025 08:00","1742112004","0.325","0.125","0.135","0.115","0.095","0.075","0.115"
"03-16-2025 09:00","1742115605","0.315","0.125","0.135","0.115","0.095","0.075","0.115"
"03-16-2025 10:00","1742119204","0.295","0.125","0.135","0.125","0.095","0.075","0.125"
"03-16-2025 11:00","1742122805","0.285","0.125","0.135","0.125","0.095","0.075","0.13"
"03-16-2025 12:00","1742126404","0.225","0.125","0.135","0.125","0.115","0.095","0.185"
"03-16-2025 13:00","1742130005","0.245","0.125","0.135","0.13","0.125","0.095","0.185"
"03-16-2025 14:00","1742133604","0.235","0.125","0.13","0.13","0.125","0.1","0.18"
"03-16-2025 15:00","1742137205","0.265","0.125","0.13","0.135","0.125","0.095","0.155"
"03-16-2025 16:00","1742140804","0.265","0.12","0.125","0.135","0.11","0.095","0.155"
"03-16-2025 17:00","1742144405","0.28","0.13","0.135","0.13","0.11","0.08","0.145"
"03-16-2025 18:00","1742148005","0.295","0.135","0.135","0.13","0.11","0.09","0.14"
"03-16-2025 19:00","1742151605","0.285","0.125","0.135","0.13","0.105","0.085","0.14"
"03-16-2025 20:00","1742155205","0.255","0.12","0.135","0.14","0.12","0.095","0.16"
"03-16-2025 21:00","1742158805","0.255","0.12","0.135","0.14","0.12","0.09","0.16"
"03-16-2025 22:00","1742162405","0.235","0.12","0.135","0.14","0.125","0.1","0.17"
"03-16-2025 23:00","1742166005","0.205","0.115","0.135","0.15","0.13","0.11","0.19"
"03-17-2025 00:00","1742169604","0.225","0.115","0.135","0.14","0.125","0.1","0.185"
"03-17-2025 01:00","1742173205","0.25","0.115","0.135","0.14","0.125","0.095","0.165"
"03-17-2025 02:00","1742176805","0.26","0.12","0.135","0.14","0.125","0.095","0.155"
"03-17-2025 03:00","1742180405","0.255","0.12","0.135","0.14","0.125","0.095","0.155"
"03-17-2025 04:00","1742184005","0.275","0.13","0.135","0.14","0.125","0.095","0.135"
"03-17-2025 05:00","1742187605","0.26","0.135","0.145","0.14","0.12","0.09","0.135"
"03-17-2025 06:00","1742191205","0.24","0.135","0.145","0.145","0.12","0.09","0.135"
"03-17-2025 07:00","1742194804","0.245","0.135","0.145","0.15","0.12","0.095","0.145"
"03-17-2025 08:00","1742198404","0.255","0.13","0.15","0.145","0.115","0.095","0.135"
"03-17-2025 09:00","1742202005","0.255","0.145","0.15","0.145","0.12","0.085","0.115"
"03-17-2025 10:00","1742205605","0.255","0.145","0.15","0.145","0.12","0.085","0.125"
"03-17-2025 11:00","1742209205","0.235","0.145","0.15","0.145","0.12","0.085","0.125"
"03-17-2025 12:00","1742212805","0.245","0.145","0.15","0.145","0.12","0.085","0.115"
"03-17-2025 13:00","1742216405","0.225","0.145","0.155","0.145","0.125","0.09","0.125"
