timestamp,pm_timestamp_actual,bucket_label,price_range,deribit_prob,polymarket_prob,difference
2025-03-21 16:00:00+00:00,2025-03-21 16:00:05+00:00,<78k,"(-inf, 78000)",0.008419,0.110000,-0.101581
2025-03-21 16:00:00+00:00,2025-03-21 16:00:05+00:00,78-80k,"(78000, 80000)",0.070240,0.500000,-0.429760
2025-03-21 16:00:00+00:00,2025-03-21 16:00:05+00:00,80-82k,"(80000, 82000)",0.213938,0.535000,-0.321062
2025-03-21 16:00:00+00:00,2025-03-21 16:00:05+00:00,82-84k,"(82000, 84000)",0.267993,0.545000,-0.277007
2025-03-21 16:00:00+00:00,2025-03-21 16:00:05+00:00,84-86k,"(84000, 86000)",0.165839,0.545000,-0.379161
2025-03-21 16:00:00+00:00,2025-03-21 16:00:05+00:00,86-88k,"(86000, 88000)",0.178119,0.535000,-0.356881
2025-03-21 16:00:00+00:00,2025-03-21 16:00:05+00:00,>88k,"(88000, inf)",0.095451,0.250000,-0.154549
2025-03-21 17:00:00+00:00,2025-03-21 17:00:06+00:00,<78k,"(-inf, 78000)",0.000000,0.105000,-0.105000
2025-03-21 17:00:00+00:00,2025-03-21 17:00:06+00:00,78-80k,"(78000, 80000)",0.000000,0.110000,-0.110000
2025-03-21 17:00:00+00:00,2025-03-21 17:00:06+00:00,80-82k,"(80000, 82000)",0.251212,0.145000,0.106212
2025-03-21 17:00:00+00:00,2025-03-21 17:00:06+00:00,82-84k,"(82000, 84000)",0.125606,0.175000,-0.049394
2025-03-21 17:00:00+00:00,2025-03-21 17:00:06+00:00,84-86k,"(84000, 86000)",0.182105,0.165000,0.017105
2025-03-21 17:00:00+00:00,2025-03-21 17:00:06+00:00,86-88k,"(86000, 88000)",0.401163,0.130000,0.271163
2025-03-21 17:00:00+00:00,2025-03-21 17:00:06+00:00,>88k,"(88000, inf)",0.039914,0.210000,-0.170086
2025-03-21 18:00:00+00:00,2025-03-21 18:00:06+00:00,<78k,"(-inf, 78000)",0.036447,0.115000,-0.078553
2025-03-21 18:00:00+00:00,2025-03-21 18:00:06+00:00,78-80k,"(78000, 80000)",0.108558,0.105000,0.003558
2025-03-21 18:00:00+00:00,2025-03-21 18:00:06+00:00,80-82k,"(80000, 82000)",0.108487,0.140000,-0.031513
