instrument,timestamp,open,high,low,close,volume
BTC-28MAR25-100000-C,2025-03-21 08:00:00+00:00,0.00040000,0.00050000,0.00040000,0.00050000,60.10000000
BTC-28MAR25-100000-C,2025-03-21 09:00:00+00:00,0.00040000,0.00040000,0.00040000,0.00040000,2.00000000
BTC-28MAR25-100000-C,2025-03-21 12:00:00+00:00,0.00040000,0.00040000,0.00030000,0.00030000,8.20000000
BTC-28MAR25-100000-C,2025-03-21 15:00:00+00:00,0.00030000,0.00030000,0.00030000,0.00030000,0.80000000
BTC-28MAR25-100000-C,2025-03-21 16:00:00+00:00,0.00030000,0.00030000,0.00030000,0.00030000,4.30000000
BTC-28MAR25-100000-C,2025-03-22 02:00:00+00:00,0.00020000,0.00020000,0.00020000,0.00020000,0.10000000
BTC-28MAR25-100000-C,2025-03-22 09:00:00+00:00,0.00030000,0.00040000,0.00030000,0.00040000,11.50000000
BTC-28MAR25-100000-C,2025-03-23 03:00:00+00:00,0.00040000,0.00040000,0.00040000,0.00040000,0.60000000
BTC-28MAR25-100000-C,2025-03-23 06:00:00+00:00,0.00050000,0.00050000,0.00050000,0.00050000,2.00000000
BTC-28MAR25-100000-C,2025-03-23 08:00:00+00:00,0.00040000,0.00040000,0.00040000,0.00040000,2.20000000
BTC-28MAR25-100000-C,2025-03-23 11:00:00+00:00,0.00040000,0.00040000,0.00040000,0.00040000,64.50000000
BTC-28MAR25-100000-C,2025-03-23 12:00:00+00:00,0.00040000,0.00040000,0.00040000,0.00040000,4.00000000
BTC-28MAR25-100000-C,2025-03-23 13:00:00+00:00,0.00040000,0.00040000,0.00040000,0.00040000,1.00000000
BTC-28MAR25-100000-C,2025-03-23 15:00:00+00:00,0.00030000,0.00030000,0.00030000,0.00030000,1.80000000
BTC-28MAR25-100000-C,2025-03-23 16:00:00+00:00,0.00040000,0.00040000,0.00040000,0.00040000,1.30000000
BTC-28MAR25-100000-C,2025-03-23 18:00:00+00:00,0.00030000,0.00030000,0.00030000,0.00030000,6.30000000
BTC-28MAR25-100000-C,2025-03-23 20:00:00+00:00,0.00030000,0.00030000,0.00030000,0.00030000,0.20000000
