strike,log_moneyness,smoothed_iv,smoothed_price_call,smoothed_price_put,timestamp,underlying_price,time_to_expiry,svi_a,svi_b,svi_rho,svi_m,svi_sigma_tot
50000,-0.51905947,0.66514089,34022.32000865,0.00000865,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
60000,-0.33673792,0.50825030,24022.32082354,0.00082354,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
65000,-0.25669521,0.42147972,19022.32487449,0.00487449,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
70000,-0.18258724,0.32139713,14022.33531849,0.01531849,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
72000,-0.15441636,0.27445838,12022.33586193,0.01586193,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
75000,-0.11359436,0.19019271,9022.32354344,0.00354344,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
76000,-0.10034914,0.15754179,8022.32073402,0.00073402,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
78000,-0.07437365,0.11031727,6022.32013171,0.00013171,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
80000,-0.04905584,0.12337170,4023.15427921,0.83427921,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
82000,-0.02436323,0.14892767,2121.98686635,99.66686635,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
83000,-0.01224187,0.16113640,1363.51469824,341.19469824,2025-03-21 08:00:00+00:00,84022.32000000,0.01916496,0.00000100,0.01298834,-0.49172282,-0.08180790,0.02021205
